data.fullpath,data.thirdpartydataproviderid,data.Relevance,data.BidFactor,data.eCPM,data.eSpend,data.audiencesize
Restaurants > Restaurants - Casual > Restaurants - Casual - Applebees > Restaurants - Casual - Applebees - All Credit/Debit Buyers,exelate,18.59,3.92,2.93,33,0
interests > business > news > extreme,DataAlliance,18.46,3.92,6.09,165,0
Audience - Interests > Health > Womens Health > Extreme Confidence,DataAlliance,18.45,3.92,3.21,117,0
interests > hobbies > affinity,DataAlliance,18.43,3.91,1.5,8,0
singapore > business,lotame,18.38,3.91,1.97,176,0
Shopping > Grocery Stores > Shop Super Target Last 4Wk,targus,18.38,3.91,6.28,56,0
interests > business > affinity,DataAlliance,18.27,3.91,1.97,102,0
Branded Data > Neustar AdAdvisor > Shopping > Coupons > Cents Off Coupons,bluekai,18.26,3.9,7.1,30,71624800
AudiencePredictor > Southern New Hampshire University | y8rdao7 > High Value User Lookalike > 10002,ttdeskpat,18.1,3.9,0.79,8,0
Interest > Sports > Team Sports > Rugby,bluekai,18.09,3.9,3.12,40,17390600
Audience - Lifestyle > Fitness & Exercise > Extreme Confidence,DataAlliance,17.93,3.89,8.11,287,0
Global > finance > banking > savings accounts,sharethis,17.93,3.89,2.28,7,0
Germany > Reach > Lifestyles > Gadget Geeks,addthis,17.82,3.88,2.17,25,0
Interest > Business & Finance > Finance & Investing > Credit Products & Services,bluekai,17.8,3.88,4.48,215,383638200
interests > advertising > online advertising > affinity,DataAlliance,17.66,3.87,3.7,52,0
Nielsen > ConneXions > Provider > Cell Phone: Metro PCS,exelate,17.64,3.87,8.13,146,0
Audience - Interests > Business > Small Business > Confident,DataAlliance,17.63,3.87,4.35,107,0
5615 Business App AX MAL,DataAlliance,17.62,3.87,4.32,40,1
5615 Business App CRM MAL,DataAlliance,17.62,3.87,4.32,40,1
Interest > Finance > Markets > Finance - Markets - Tech,exelate,17.62,3.87,7.92,35,1
Branded Data > Clearspring > Education > Majors > Humanities,bluekai,17.55,3.87,4.77,18,266800
Audience - Interests > Health > Health News & Reference > High Confidence,DataAlliance,17.25,3.85,5.41,90,0
hong kong > men declared,lotame,17.24,3.85,1.98,44,0
interests > online games > strong affinity,DataAlliance,17.23,3.85,2.5,946,0
purchase intent > health > strong affinity,DataAlliance,17.18,3.84,3.64,55,0
interests > technology > affinity,DataAlliance,17.17,3.84,4.23,128,0
Branded Data > IXI > Consumer Markets > Travel > Exotic Destination Travelers,bluekai,17.16,3.84,19.01,75,115166800
Branded Data > Lotame > B2B > Functional Area > Consultants,bluekai,17.09,3.84,4.96,22,8816320
Intent > Travel > Travel - Destination > Travel - Destination - Caribbean,exelate,17.04,3.84,2.22,8,1
Intent > Shopping > Shopping - Retail,exelate,17.01,3.83,2.31,25,1
Branded Data > Lotame > Home & Family > Personal Finance > Retirement Planning,bluekai,16.95,3.83,10.95,112,0
Audience - Interests > Business > Finance > Extreme Confidence,DataAlliance,16.87,3.83,3.54,634,0
purchase intent > diet & weight loss > affinity,DataAlliance,16.87,3.83,7.79,151,0
interests > advertising > affinity,DataAlliance,16.77,3.82,3.9,58,0
Audience - Interests > Business > Business Services > High Confidence,DataAlliance,16.73,3.82,2.22,40,0
Entertainment & Lifestyle > Video Game > Portable Console Owner,visualdna,16.64,3.81,0.99,5,0
Intent > Intent - Shopping > CPG > Grocery,eyeota,16.6,3.81,1.31,35,0
AudiencePredictor > Spartan Race  | z5ax8re > High Value User Lookalike > 10001,ttdeskpat,16.59,3.81,1.81,8,0
Branded Data > Alliant > Parents > Parents of Teenagers: Age 14-17,bluekai,16.58,3.81,3.45,46,26749440
