tdid,score
2e461d3a-c33f-465d-a122-31cb2cd83017,58.0492470492
2e645898-72d9-4bc2-ac8e-37251228f361,58.0492470492
2ef19315-dcfc-49f9-8d63-f4236c1983da,58.0492470492
2f846db0-4baa-428b-8efa-4ecf38492183,58.0492470492
30184ed3-aa97-4d59-8247-82672706d20e,58.0492470492
30277a07-2564-4e5d-8c0e-12d38f6671e4,58.0492470492
3088794a-003e-4319-9676-c72d5d207abf,58.0492470492
30acad77-24de-4449-8f8e-cab11de572ef,58.0492470492
30f0edf8-3634-46b1-ad1e-8ecab6f53e3d,58.0492470492
3160fa6e-ecd5-461d-99a9-f5c6516d924b,58.0492470492
317d6862-7eb4-4c84-b0ad-ac2489928928,58.0492470492
31c9dca5-6e2a-4328-86a4-1d9a0cb2dd2d,58.0492470492
328e766e-041f-4f2f-8683-9f304a6e4742,58.0492470492
3362a56c-37bf-4d71-8f69-8c287bc508b6,58.0492470492
339c3c89-71a3-4a71-bf62-59b4b79475fe,58.0492470492
35241b07-80f7-4646-9797-32848c64790e,58.0492470492
35596e0f-fea4-4618-b14e-86bb070c0a17,58.0492470492
356fa780-f1cd-4b26-802d-6d21ca291f0f,58.0492470492
3589b3d2-91b3-4176-a63b-f824b11850c3,58.0492470492
358e6498-7752-4983-94f0-dc98adf63e8d,58.0492470492
35e7dd03-bf38-43f8-b390-dc074fb326c1,58.0492470492
372c96ae-24c5-45c6-8a31-95ff3d6a63bb,58.0492470492
372e6fa5-8525-42de-a4d6-ba69212c5ac0,58.0492470492
3781ce77-5501-4e49-b276-95f3a6992388,58.0492470492
37865ddb-0bef-42b2-ab87-f1a119d51826,58.0492470492
37cdcaf6-721e-4237-b496-e4bc55b8b9bc,58.0492470492
38273dfe-b2e0-4fea-a77d-7fc8d85f2eb5,58.0492470492
388e166b-2745-480f-8618-caf606efadd4,58.0492470492
38ca3737-59df-47b7-9d1e-c3060c6be1b6,58.0492470492
38f6a810-4254-434f-812d-3f4adc76e704,58.0492470492
397413a6-50db-4d7c-8feb-ec941c6c4161,58.0492470492
39913173-92e0-4dba-ba93-dd4e9570d70d,58.0492470492
39c9f289-03c9-4318-a34e-aa3deada8ddd,58.0492470492
3a23aabd-8e02-4886-bfba-3f5b460ca480,58.0492470492
3a3db7e1-f092-44df-abf5-a27fe71ca03e,58.0492470492
3a54cf70-f8b9-4fd1-ba85-49587e643482,58.0492470492
3a9158e9-d82e-483a-a3df-e356c9c0b38b,58.0492470492
3ab13500-5dab-4985-b696-5208a92d7cea,58.0492470492
3ade5183-a5ad-4282-a2e7-e2c2ea3d32fa,58.0492470492
3b29fc0c-6d7a-40d2-bbf9-f57c4792f046,58.0492470492
3b558459-ad5c-4033-80a1-fe3e061041c6,58.0492470492
3b656604-44f2-4e0c-afdf-ce0622f1392d,58.0492470492
3b8bdade-c5f8-4c12-8ac4-19399c47bfc3,58.0492470492
3bb24b48-76f1-4274-b550-db70316d7f73,58.0492470492
